cluster,gene,pvals_adj
48,KLF2,0.9999594239202033
49,CEBPD,2.3043812650830326e-246
49,AQP1,0.9999966029087912
49,MUC1,0.9999966029087912
49,PSMD3,0.9999966029087912
50,VIM,4.186638914964696e-108
50,IGKC,5.7788627225906136e-36
50,MAEA,0.999898077401505
50,ERG,0.999898077401505
51,MT-CO3,1.2098809125290154e-102
51,IGHG1,4.505166147093071e-79
51,MT-CO2,0.9999990249379317
51,MT-ND4L,0.9999990249379317
52,A2M,2.45332228677672e-77
52,IGKC,4.547635290423734e-34
52,PTGDS,0.9999791058468962
52,FBLN1,0.9999791058468962
53,MYH11,4.747996077370221e-56
53,TAGLN,7.372039139939924e-44
53,SRGN,0.9998866794941779
53,RASSF3,0.9998866794941779
54,MT-CO3,2.783625110541883e-13
54,CD74,1.6074245888708902e-05
54,MT-CO2,0.0010036147549353017
54,CXCL14,0.06877382564786276
55,C7,8.908038603386064e-12
55,IGKC,0.0016800834340333646
55,CCDC102B,0.9999442870419762
55,CCL21,0.9999442870419762
