,RAMP2,MS4A2,label
163,0.0,0.83870965,Xseg
164,0.0,2.5710754,Xseg
165,0.0,0.011355082,Xseg
166,0.0,2.6,Xseg
167,0.8937775,0.0,Xseg
168,0.0,0.063804306,Xseg
169,2.0788035,0.0,Xseg
170,0.0,0.6585282,Xseg
171,0.0,1.3877621,Xseg
172,0.0,0.90885305,Xseg
173,1.4444444,0.0,Xseg
174,0.0,1.0235796,Xseg
175,0.0,1.318011,Xseg
176,0.0,1.1437299,Xseg
177,0.48154446,0.0,Xseg
178,0.0,0.78577334,Xseg
179,1.5411613,0.0,Xseg
180,0.0,1.138172,Xseg
181,1.1888566,0.0,Xseg
182,0.16778888,0.0,Xseg
183,1.3419482,0.0,Xseg
184,1.5500703,0.0,Xseg
185,0.0,3.0434191,Xseg
186,0.8176964,0.0,Xseg
187,1.3072096,0.0,Xseg
188,1.9752188,0.0,Xseg
189,1.5091438,0.0,Xseg
190,1.3475583,0.0,Xseg
191,0.72893643,0.0,Xseg
192,0.0,0.68294847,Xseg
193,0.0,2.1175783,Xseg
194,1.4911777,0.0,Xseg
195,0.0,1.5728519,Xseg
196,0.44159916,0.0,Xseg
197,0.0,1.2104238,Xseg
198,1.5176152,0.0,Xseg
199,0.0,0.22149405,Xseg
200,1.7218475,0.0,Xseg
201,0.0,0.6060606,Xseg
202,2.3967497,0.0,Xseg
203,0.0,0.56043875,Xseg
204,0.0,1.5782291,Xseg
205,0.0,0.90346,Xseg
206,0.0,0.7027027,Xseg
207,0.0,0.0064250766,Xseg
208,0.78784174,0.0,Xseg
209,0.0,1.3911607,Xseg
210,0.0,1.112328,Xseg
211,0.0,1.3,Xseg
212,0.0,1.1671617,Xseg
213,0.0,0.45686734,Xseg
214,0.8042066,0.0,Xseg
215,0.0,1.3883549,Xseg
216,0.8861632,0.0,Xseg
217,0.58058524,0.0,Xseg
218,0.0,9.654619e-05,Xseg
219,0.0,0.7878788,Xseg
220,0.9712123,0.0,Xseg
221,0.0,0.97738457,Xseg
222,0.0,2.2004488,Xseg
223,0.0,0.32240245,Xseg
224,0.0,0.7156109,Xseg
225,1.9412298,0.0,Xseg
226,0.82952315,0.0,Xseg
