Gene Pair,bin2cell,bins,enact,8x8,Xseg,16x16,08x08,02x02
CLDN5-SLC18A2,0.0,0.0019011406844106,0.001477104874446,0.0038377192982456,0.0021008403361344537,0.0019011406844106,0.0,0.0
CLDN5-IL1RL1,0.0,0.0014981273408239,0.0,0.0026737967914438,0.0,0.0014981273408239,0.0,0.0
CLDN5-RHEX,0.0034364261168384,0.0026881720430107,0.0018939393939393,0.0006613756613756,0.0,0.0026881720430107,0.0026666666666666,0.0
VWF-ADH1B,0.0,0.0,0.0,0.0018340210912425,0.0,0.0,0.0,0.0
VWF-OGN,0.0,0.0,0.0,0.0021382751247327,0.0,0.0,0.0,0.0
VWF-SFRP2,0.0,0.0038610038610038,0.0054495912806539,0.0021613832853025,0.007575757575757576,0.0038610038610038,0.0038610038610038,0.0
VWF-CPA3,0.0034584980237154,0.0079695079695079,0.0048543689320388,0.0007710100231303,0.0033277870216306157,0.0079695079695079,0.0026890756302521,0.0
VWF-MS4A2,0.0009784735812133,0.0031605562579013,0.003391746749576,0.0043016194331983,0.0035026269702276708,0.0031605562579013,0.001863354037267,0.0006079027355623
VWF-KIT,0.0,0.0058555627846454,0.0016949152542372,0.0035765379113018,0.001682085786375105,0.0058555627846454,0.0018785222291797,0.0
VWF-SLC18A2,0.0007112375533428,0.0041173443129181,0.0020798668885191,0.0021428571428571,0.0024464831804281344,0.0041173443129181,0.0004962779156327,0.0004780114722753
VWF-IL1RL1,0.0013123359580052,0.0044883303411131,0.0022865853658536,0.0049859769398566,0.0011198208286674132,0.0044883303411131,0.0017605633802816,0.0
VWF-HDC,0.0007496251874062,0.00416449765747,0.0022241992882562,0.0040355125100887,0.0012523481527864746,0.00416449765747,0.0010172939979654,0.0
VWF-RHEX,0.0,0.0010373443983402,0.0008583690987124,0.0038119440914866,0.0012706480304955528,0.0010373443983402,0.0,0.0
CDH5-ADH1B,0.0014992503748125,0.0040733197556008,0.0026200873362445,0.0012615643397813,0.003973509933774834,0.0040733197556008,0.0030211480362537,0.0
CDH5-OGN,0.0,0.0011098779134295,0.0,0.0016934801016088,0.0,0.0011098779134295,0.0,0.0
CDH5-SFRP2,0.0,0.0,0.0,0.000432525951557,0.001466275659824047,0.0,0.0,0.0
CDH5-CPA3,0.005181347150259,0.0115830115830115,0.0068997240110395,0.0008806693086745,0.0065919578114700065,0.0115830115830115,0.0036978341257263,0.0
CDH5-MS4A2,0.0006609385327164,0.0060034305317324,0.002283105022831,0.0015402387370042,0.0028042624789680315,0.0060034305317324,0.0004116920543433,0.0
CDH5-KIT,0.0,0.0043572984749455,0.0034311856652687,0.0013927576601671,0.002735229759299781,0.0043572984749455,0.0012427506213753,0.0004038772213247
CDH5-RHEX,0.0026413100898045,0.0081845238095238,0.0043023970497848,0.0020905923344947,0.004403346543372964,0.0081845238095238,0.001060070671378,0.0
ADH1B-CPA3,0.0,0.0032051282051282,0.0009208103130755,0.0043266630611141,0.0006514657980456026,0.0032051282051282,0.0005117707267144,0.0
ADH1B-MS4A2,0.0016456390565002,0.0071187710753091,0.0025773195876288,0.0017889087656529,0.0035826242722794446,0.0071187710753091,0.0017985611510791,0.0
ADH1B-KIT,0.0017094017094017,0.0040768782760629,0.0019792182088075,0.0033594624860022,0.003508771929824561,0.0040768782760629,0.0011135857461024,0.0
ADH1B-SLC18A2,0.0008635578583765,0.0040276179516685,0.0014970059880239,0.0011061946902654,0.0007147962830593281,0.0040276179516685,0.0005518763796909,0.0
ADH1B-IL1RL1,0.0,0.0036253776435045,0.0010330578512396,0.0094770094770094,0.0014792899408284023,0.0036253776435045,0.0,0.0
ADH1B-HDC,0.0009267840593141,0.0012430080795525,0.0,0.003754106053496,0.0007552870090634441,0.0012430080795525,0.0,0.0
ADH1B-RHEX,0.0033353547604608,0.0156419726265479,0.0077854671280276,0.0057245080500894,0.0062876604663348185,0.0156419726265479,0.0034573927191376,0.0003869969040247
OGN-CPA3,0.0026143790849673,0.0075120192307692,0.0051724137931034,0.0019723865877712,0.0027258566978193145,0.0075120192307692,0.0025316455696202,0.0
OGN-MS4A2,0.0017406440382941,0.0079123554473524,0.0034440344403444,0.0024850894632206,0.004986574606827771,0.0079123554473524,0.0014100394811054,0.0
OGN-KIT,0.0037383177570093,0.0111534276387377,0.007693951699081,0.0015298317185109,0.005901639344262295,0.0111534276387377,0.0022738756947953,0.0002367984844896
OGN-SLC18A2,0.003441494591937,0.0059274755927475,0.0052748473070516,0.000520020800832,0.003022452504317789,0.0059274755927475,0.001946156341226,0.0003038590094196
OGN-HDC,0.0042275172943889,0.0081855388813096,0.006401766004415,0.005281690140845,0.0029811195760185492,0.0081855388813096,0.003585147247119,0.0002411381721726
SFRP2-CPA3,0.001021972406745,0.0036751194413818,0.0017311021350259,0.0030832476875642,0.0009029345372460496,0.0036751194413818,0.0013661202185792,0.0003180661577608
SFRP2-MS4A2,0.0020597322348094,0.0018201674554058,0.0014496955639315,0.003043213633597,0.0009153318077803204,0.0018201674554058,0.0006791171477079,0.0
SFRP2-KIT,0.0005257623554153,0.0018775816748028,0.0005911912503694,0.005787037037037,0.0,0.0018775816748028,0.0006983240223463,0.0
SFRP2-IL1RL1,0.0005359056806002,0.0007645259938837,0.0012091898428053,0.0037593984962406,0.001422475106685633,0.0007645259938837,0.0003552397868561,0.0
