Gene1,Gene2,Cell_Coexpression,Nuclei_Coexpression,Relative_Increase
COL6A2,PCMTD1,0.05172413793103448,0.006802721088435374,7.603448275862069
ADA2,PON2,0.0273972602739726,0.0036101083032490976,7.58904109589041
MT2A,HMGN3,0.05747126436781609,0.007575757575757576,7.586206896551724
RGCC,RACK1,0.03680981595092025,0.0048543689320388345,7.582822085889572
COL6A3,TNIK,0.05454545454545454,0.007194244604316547,7.581818181818181
ESRP1,ANK3,0.05405405405405406,0.007142857142857143,7.567567567567568
ACTA2,GPBP1L1,0.04504504504504504,0.005952380952380952,7.5675675675675675
PTGDS,BNIP3L,0.05357142857142857,0.0070921985815602835,7.553571428571428
MYH11,SRGN,0.011023622047244094,0.00145985401459854,7.5511811023622055
IMPAD1,REEP5,0.04065040650406504,0.005405405405405406,7.520325203252032
CLIC1,UBXN4,0.034482758620689655,0.0045871559633027525,7.517241379310344
NBL1,OPTN,0.04054054054054054,0.005434782608695652,7.45945945945946
CD68,CLU,0.025454545454545455,0.0034129692832764505,7.458181818181818
NBL1,ENC1,0.049019607843137254,0.006578947368421052,7.450980392156863
EGR1,TACSTD2,0.037037037037037035,0.004975124378109453,7.444444444444444
LUM,TACSTD2,0.037037037037037035,0.004975124378109453,7.444444444444444
TAGLN,PPT1,0.024691358024691357,0.0033222591362126247,7.432098765432098
SPARCL1,CCPG1,0.026041666666666668,0.0035087719298245615,7.421875
C7,FAM107B,0.03571428571428571,0.004830917874396135,7.392857142857143
HNRNPC,PRKCE,0.07692307692307693,0.010416666666666666,7.384615384615385
COL6A1,SF3B5,0.038461538461538464,0.005208333333333333,7.384615384615385
TRBC1,ICAM1,0.0165016501650165,0.0022371364653243847,7.376237623762376
MS4A6A,PJA2,0.05263157894736842,0.007142857142857143,7.368421052631579
AQP1,CYTIP,0.03409090909090909,0.004629629629629629,7.363636363636363
SERP1,ZNF644,0.046296296296296294,0.006289308176100629,7.361111111111111
CAPZB,C7,0.029411764705882353,0.004,7.352941176470588
ACTA2,CFDP1,0.045871559633027525,0.00625,7.339449541284404
SAMHD1,ACADVL,0.028089887640449437,0.0038314176245210726,7.331460674157303
CLU,CD68,0.02364864864864865,0.0032258064516129032,7.331081081081082
ANK3,ESRP1,0.057971014492753624,0.007936507936507936,7.304347826086957
FN1,ESRP1,0.057971014492753624,0.007936507936507936,7.304347826086957
DHX15,TAGLN2,0.02702702702702703,0.003703703703703704,7.297297297297297
COX7C,AKT1,0.0392156862745098,0.005376344086021506,7.2941176470588225
LSP1,ARF1,0.036585365853658534,0.005025125628140704,7.280487804878049
TRBC1,NUCB1,0.027777777777777776,0.003816793893129771,7.277777777777778
CLEC2D,NUCB1,0.027777777777777776,0.003816793893129771,7.277777777777778
TRBC1,PTBP3,0.0375,0.005154639175257732,7.2749999999999995
AHR,PECAM1,0.04054054054054054,0.00558659217877095,7.256756756756757
AHNAK,DHRS3,0.047619047619047616,0.006578947368421052,7.238095238095238
SERPING1,TMEM41B,0.04950495049504951,0.00684931506849315,7.227722772277229
COL6A2,C1orf116,0.022099447513812154,0.0030581039755351682,7.226519337016574
LCP1,CBX3,0.11842105263157894,0.01639344262295082,7.223684210526315
IKZF1,IFI30,0.020905923344947737,0.002898550724637681,7.212543554006969
FCER1G,ZNF146,0.045871559633027525,0.006369426751592357,7.201834862385321
ETS2,MUC21,0.03225806451612903,0.004484304932735426,7.193548387096774
TNFAIP3,ELOVL1,0.04854368932038835,0.006756756756756757,7.184466019417475
CYBA,ATP1B1,0.0380952380952381,0.005319148936170213,7.161904761904763
COL6A2,TAX1BP3,0.06315789473684211,0.008849557522123894,7.136842105263158
LCP1,LAMTOR1,0.02631578947368421,0.0036900369003690036,7.131578947368421
LAPTM5,TFF3,0.029585798816568046,0.004149377593360996,7.130177514792899
SPARCL1,SLC40A1,0.024154589371980676,0.003389830508474576,7.1256038647343
ANXA7,HNRNPUL1,0.056818181818181816,0.008,7.102272727272727
FNDC3B,RBL2,0.038461538461538464,0.005434782608695652,7.0769230769230775
CDH11,TAP1,0.017857142857142856,0.0025252525252525255,7.07142857142857
AQP1,PIM2,0.03205128205128205,0.004545454545454545,7.051282051282051
NBL1,KMT2C,0.025906735751295335,0.003676470588235294,7.046632124352331
SELENOM,AHR,0.019305019305019305,0.0027397260273972603,7.046332046332046
ACTA2,S100A4,0.020338983050847456,0.002898550724637681,7.016949152542372
TFF3,C1QA,0.014457831325301205,0.002061855670103093,7.0120481927710845
TGOLN2,ZCRB1,0.042735042735042736,0.006097560975609756,7.0085470085470085
CD52,CALCOCO2,0.031413612565445025,0.004484304932735426,7.005235602094241
TFRC,IER3,0.045454545454545456,0.006493506493506494,7.0
C7,MAT2A,0.034722222222222224,0.004975124378109453,6.979166666666667
SERPINF1,RSRC2,0.045871559633027525,0.006578947368421052,6.972477064220184
SPARCL1,EMC10,0.04424778761061947,0.006369426751592357,6.946902654867256
C7,LDHB,0.04032258064516129,0.005813953488372093,6.935483870967742
CALU,ADA2,0.03314917127071823,0.004784688995215311,6.928176795580111
REEP5,IMPAD1,0.04672897196261682,0.006756756756756757,6.915887850467289
FOS,SGK1,0.04964539007092199,0.007194244604316547,6.900709219858156
CRIP1,EGR1,0.03592814371257485,0.005208333333333333,6.8982035928143715
DEPP1,GOLPH3,0.043859649122807015,0.006369426751592357,6.885964912280701
DEPP1,SERINC3,0.03759398496240601,0.00546448087431694,6.879699248120301
CMPK1,PPP1CA,0.038834951456310676,0.005649717514124294,6.87378640776699
SCGB1A1,SDC4,0.03418803418803419,0.004975124378109453,6.871794871794872
BLOC1S1,NIPSNAP2,0.03669724770642202,0.0053475935828877,6.862385321100918
C1R,SFTPA1,0.11428571428571428,0.016666666666666666,6.857142857142857
IKZF1,EDEM1,0.032467532467532464,0.004739336492890996,6.850649350649349
CCNL1,ATP6V0E1,0.044642857142857144,0.006535947712418301,6.830357142857143
HNRNPF,SERPINA1,0.044642857142857144,0.006535947712418301,6.830357142857143
URI1,SOD2,0.023622047244094488,0.0034602076124567475,6.8267716535433065
CEBPB,IFI44L,0.04032258064516129,0.005917159763313609,6.814516129032258
CXCL9,MIDN,0.05319148936170213,0.0078125,6.808510638297872
CD82,AP2A2,0.043010752688172046,0.006329113924050633,6.795698924731184
ADA2,RNH1,0.03816793893129771,0.0056179775280898875,6.793893129770993
RGCC,H1FX,0.024154589371980676,0.0035587188612099642,6.78743961352657
